state,hospital_overall_rating,hospital_count
AK,1,1
AK,2,3
AK,3,3
AK,4,2
AK,5,1
AL,1,5
AL,2,18
AL,3,25
AL,4,11
AR,1,3
AR,2,15
AR,3,15
AR,4,8
AR,5,3
AZ,1,1
AZ,2,18
AZ,3,18
AZ,4,10
AZ,5,8
CA,1,29
CA,2,59
CA,3,76
CA,4,87
CA,5,29
CO,1,1
CO,2,1
CO,3,11
CO,4,22
CO,5,14
CT,2,5
CT,3,9
CT,4,8
CT,5,4
DC,1,1
DC,2,1
DC,3,4
DC,5,1
DE,2,1
DE,3,4
DE,4,2
FL,1,16
FL,2,38
FL,3,53
FL,4,43
FL,5,19
GA,1,8
GA,2,22
GA,3,27
GA,4,21
GA,5,6
GU,2,1
HI,2,3
HI,3,3
HI,4,5
IA,1,2
IA,2,16
IA,3,16
IA,4,21
IA,5,7
ID,2,3
ID,3,9
ID,4,5
ID,5,5
IL,1,15
IL,2,29
IL,3,43
IL,4,35
IL,5,14
IN,1,2
IN,2,15
IN,3,34
IN,4,28
IN,5,12
KS,1,2
KS,2,12
KS,3,18
KS,4,20
KS,5,3
KY,1,8
KY,2,21
KY,3,22
KY,4,11
KY,5,5
LA,1,3
LA,2,18
LA,3,25
LA,4,13
MA,1,2
MA,2,15
MA,3,16
MA,4,12
MA,5,9
MD,1,2
MD,2,6
MD,3,18
MD,4,9
MD,5,7
ME,1,1
ME,2,4
ME,3,9
ME,4,9
ME,5,1
MI,1,9
MI,2,19
MI,3,30
MI,4,27
MI,5,9
MN,1,1
MN,2,3
MN,3,17
MN,4,23
MN,5,13
MO,1,3
MO,2,21
MO,3,23
MO,4,28
MO,5,5
MS,1,12
MS,2,19
MS,3,14
MS,4,6
MS,5,1
MT,1,1
MT,2,5
MT,3,6
MT,4,4
MT,5,4
NC,1,4
NC,2,17
NC,3,29
NC,4,28
NC,5,12
ND,1,1
ND,2,3
ND,3,5
ND,4,5
ND,5,2
NE,2,5
NE,3,8
NE,4,23
NH,1,1
NH,2,4
NH,3,8
NH,4,10
NJ,1,5
NJ,2,12
NJ,3,20
NJ,4,17
NJ,5,7
NM,1,3
NM,2,11
NM,3,5
NM,4,3
NM,5,1
NV,2,10
NV,3,8
NV,4,4
NV,5,3
NY,1,21
NY,2,45
NY,3,34
NY,4,16
NY,5,20
OH,2,12
OH,3,48
OH,4,50
OH,5,18
OK,1,2
OK,2,14
OK,3,18
OK,4,20
OK,5,8
OR,1,2
OR,2,8
OR,3,14
OR,4,17
OR,5,3
PA,1,4
PA,2,22
PA,3,32
PA,4,54
PA,5,20
PR,1,4
PR,2,2
PR,4,1
RI,2,1
RI,3,3
RI,4,7
SC,2,10
SC,3,15
SC,4,17
SC,5,7
SD,2,2
SD,3,3
SD,4,8
SD,5,5
TN,1,6
TN,2,14
TN,3,26
TN,4,20
TN,5,6
TX,1,7
TX,2,37
TX,3,69
TX,4,75
TX,5,29
UT,2,2
UT,3,4
UT,4,8
UT,5,15
VA,2,6
VA,3,24
VA,4,34
VA,5,12
VI,1,1
VI,2,1
VT,1,1
VT,2,1
VT,3,6
VT,4,2
VT,5,2
WA,1,1
WA,2,14
WA,3,21
WA,4,18
WA,5,6
WI,1,2
WI,2,5
WI,3,24
WI,4,34
WI,5,21
WV,1,6
WV,2,10
WV,3,9
WV,4,4
WV,5,5
WY,2,3
WY,3,6
WY,4,5
WY,5,2
