facility_name,state,hospital_overall_rating,count_of_mort_measures_worse,count_of_safety_measures_worse,count_of_readm_measures_worse,total_worse_measures
"JACKSON HEALTH SYSTEM",FL,1,4,1,4,9
"ST BERNARDS MEDICAL CENTER",AR,1,3,1,4,8
"SOUTH CENTRAL REG MED CTR",MS,1,3,2,3,8
"HCA FLORIDA OAK HILL HOSPITAL",FL,1,0,1,6,7
"WELLSTAR MCG HEALTH, AFFILIATED WITH MED COL",GA,1,2,3,2,7
"HENRY FORD HEALTH HOSPITAL",MI,3,1,1,5,7
"LAKELAND REGIONAL MEDICAL CENTER",FL,1,1,2,4,7
"THOMAS JEFFERSON UNIVERSITY HOSPITAL",PA,3,0,1,6,7
"DELTA HEALTH SYSTEM - THE MEDICAL CENTER",MS,1,4,0,3,7
"ADVENTHEALTH ORLANDO",FL,3,0,0,7,7
"MARION COMMUNTIY HOSPITAL",FL,1,3,1,3,7
"CHARLESTON AREA MEDICAL CENTER",WV,2,1,1,5,7
"LOWELL GENERAL HOSPITAL",MA,2,1,1,4,6
"SINGING RIVER HEALTH SYSTEM",MS,1,3,0,3,6
"WYNN HOSPITAL",NY,1,2,1,3,6
"ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE",NY,1,2,1,3,6
"ECU HEALTH MEDICAL CENTER",NC,2,1,0,5,6
"TENNOVA HEALTHCARE - CLARKSVILLE",TN,1,3,0,3,6
"SAN JUAN VA MEDICAL CENTER",PR,2,0,1,5,6
"SPARTANBURG MEDICAL CENTER",SC,2,3,0,3,6
