state,total_hospitals,penalized,penalty_rate_pct
VT,6,4,66.7
HI,11,7,63.6
IA,30,16,53.3
AK,8,4,50.0
WY,8,4,50.0
WV,25,12,48.0
NM,26,11,42.3
OR,32,13,40.6
NH,13,5,38.5
AL,77,29,37.7
MT,11,4,36.4
MA,55,20,36.4
KY,59,21,35.6
NY,129,45,34.9
MI,90,30,33.3
AR,43,14,32.6
ME,13,4,30.8
MS,59,18,30.5
LA,82,25,30.5
GA,94,27,28.7
CA,277,76,27.4
IL,114,31,27.2
PA,133,36,27.1
OH,118,31,26.3
WA,46,12,26.1
NC,80,20,25.0
WI,65,16,24.6
NE,25,6,24.0
MN,46,11,23.9
SC,51,12,23.5
KS,44,10,22.7
RI,10,2,20.0
OK,76,15,19.7
TN,78,15,19.2
AZ,64,12,18.8
NV,22,4,18.2
SD,17,3,17.6
DC,6,1,16.7
MO,63,9,14.3
ND,7,1,14.3
CO,51,7,13.7
ID,16,2,12.5
IN,82,10,12.2
TX,284,32,11.3
CT,27,3,11.1
FL,169,18,10.7
NJ,61,5,8.2
VA,71,5,7.0
UT,32,1,3.1
DE,6,0,0.0
