facility_id,facility_name,state,hospital_type,hospital_ownership,hospital_overall_rating,count_of_mort_measures_better,count_of_mort_measures_worse,count_of_safety_measures_better,count_of_safety_measures_worse,count_of_readm_measures_better,count_of_readm_measures_worse,"Total HAC Score","Payment Reduction"
39006F,"LEBANON VA MEDICAL CENTER",PA,"Acute Care - Veterans Administration","Veterans Health Administration",5,1,0,0,0,2,0,NULL,NULL
161339,"WAVERLY HEALTH CENTER",IA,"Critical Access Hospitals","Government - Local",5,0,0,0,0,1,0,NULL,NULL
39009F,"PHILADELPHIA VA MEDICAL CENTER",PA,"Acute Care - Veterans Administration","Veterans Health Administration",5,3,0,1,0,1,0,NULL,NULL
39001F,"JAMES E. VAN ZANDT VA MEDICAL CENTER (ALTOONA)",PA,"Acute Care - Veterans Administration","Veterans Health Administration",5,0,0,NULL,NULL,1,0,NULL,NULL
161316,"GUNDERSEN PALMER LUTHERAN HOSPITAL AND CLINICS",IA,"Critical Access Hospitals","Voluntary non-profit - Private",5,0,0,NULL,NULL,2,0,NULL,NULL
16004F,"IOWA CITY VA MEDICAL CENTER",IA,"Acute Care - Veterans Administration","Veterans Health Administration",5,0,0,0,0,2,0,NULL,NULL
161348,"CLARKE COUNTY HOSPITAL",IA,"Critical Access Hospitals","Voluntary non-profit - Other",5,0,0,NULL,NULL,2,0,NULL,NULL
39013F,"WILKES BARRE VA MEDICAL CENTER",PA,"Acute Care - Veterans Administration","Veterans Health Administration",5,0,0,0,0,2,0,NULL,NULL
271335,"COMMUNITY HOSPITAL OF ANACONDA",MT,"Critical Access Hospitals","Voluntary non-profit - Private",5,0,0,NULL,NULL,2,0,NULL,NULL
53004F,"CHEYENNE VA MEDICAL CENTER",WY,"Acute Care - Veterans Administration","Veterans Health Administration",5,0,0,0,0,1,0,NULL,NULL
151333,"PUTNAM COUNTY HOSPITAL",IN,"Critical Access Hospitals","Government - Local",5,0,0,NULL,NULL,1,0,NULL,NULL
381321,"GRANDE RONDE HOSPITAL",OR,"Critical Access Hospitals","Voluntary non-profit - Private",5,0,1,0,0,2,0,NULL,NULL
27003F,"VA MONTANA HEALTHCARE SYSTEM",MT,"Acute Care - Veterans Administration","Veterans Health Administration",5,0,0,0,0,1,0,NULL,NULL
381316,"PEACE HARBOR MEDICAL CENTER",OR,"Critical Access Hospitals","Voluntary non-profit - Church",5,0,0,0,0,0,0,NULL,NULL
49010F,"RICHMOND VA MEDICAL CENTER",VA,"Acute Care - Veterans Administration","Veterans Health Administration",5,2,0,0,0,4,0,NULL,NULL
521351,"REEDSBURG AREA MEDICAL CENTER",WI,"Critical Access Hospitals","Voluntary non-profit - Private",5,0,0,0,0,0,0,NULL,NULL
521349,"RIVER FALLS AREA HOSPITAL",WI,"Critical Access Hospitals","Voluntary non-profit - Private",5,0,0,0,0,1,0,NULL,NULL
471301,"GIFFORD MEDICAL CENTER",VT,"Critical Access Hospitals","Voluntary non-profit - Private",5,0,0,0,0,1,0,NULL,NULL
271347,"HOLY ROSARY HOSPITAL",MT,"Critical Access Hospitals","Voluntary non-profit - Private",5,0,0,0,0,2,0,NULL,NULL
38003F,"PORTLAND VA MEDICAL CENTER",OR,"Acute Care - Veterans Administration","Veterans Health Administration",5,2,0,1,1,1,0,NULL,NULL
151323,"PARKVIEW LAGRANGE HOSPITAL",IN,"Critical Access Hospitals","Voluntary non-profit - Private",5,0,0,0,0,0,0,NULL,NULL
